"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!With a disability!!Estimate","Tennessee!!With a disability!!Margin of Error","Tennessee!!Percent with a disability!!Estimate","Tennessee!!Percent with a disability!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!With a disability!!Estimate","Cannon County, Tennessee!!With a disability!!Margin of Error","Cannon County, Tennessee!!Percent with a disability!!Estimate","Cannon County, Tennessee!!Percent with a disability!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!With a disability!!Estimate","Clay County, Tennessee!!With a disability!!Margin of Error","Clay County, Tennessee!!Percent with a disability!!Estimate","Clay County, Tennessee!!Percent with a disability!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!With a disability!!Estimate","Cumberland County, Tennessee!!With a disability!!Margin of Error","Cumberland County, Tennessee!!Percent with a disability!!Estimate","Cumberland County, Tennessee!!Percent with a disability!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!With a disability!!Estimate","DeKalb County, Tennessee!!With a disability!!Margin of Error","DeKalb County, Tennessee!!Percent with a disability!!Estimate","DeKalb County, Tennessee!!Percent with a disability!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!With a disability!!Estimate","Fentress County, Tennessee!!With a disability!!Margin of Error","Fentress County, Tennessee!!Percent with a disability!!Estimate","Fentress County, Tennessee!!Percent with a disability!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!With a disability!!Estimate","Jackson County, Tennessee!!With a disability!!Margin of Error","Jackson County, Tennessee!!Percent with a disability!!Estimate","Jackson County, Tennessee!!Percent with a disability!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!With a disability!!Estimate","Macon County, Tennessee!!With a disability!!Margin of Error","Macon County, Tennessee!!Percent with a disability!!Estimate","Macon County, Tennessee!!Percent with a disability!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!With a disability!!Estimate","Overton County, Tennessee!!With a disability!!Margin of Error","Overton County, Tennessee!!Percent with a disability!!Estimate","Overton County, Tennessee!!Percent with a disability!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!With a disability!!Estimate","Pickett County, Tennessee!!With a disability!!Margin of Error","Pickett County, Tennessee!!Percent with a disability!!Estimate","Pickett County, Tennessee!!Percent with a disability!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!With a disability!!Estimate","Putnam County, Tennessee!!With a disability!!Margin of Error","Putnam County, Tennessee!!Percent with a disability!!Estimate","Putnam County, Tennessee!!Percent with a disability!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!With a disability!!Estimate","Smith County, Tennessee!!With a disability!!Margin of Error","Smith County, Tennessee!!Percent with a disability!!Estimate","Smith County, Tennessee!!Percent with a disability!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!With a disability!!Estimate","Van Buren County, Tennessee!!With a disability!!Margin of Error","Van Buren County, Tennessee!!Percent with a disability!!Estimate","Van Buren County, Tennessee!!Percent with a disability!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!With a disability!!Estimate","Warren County, Tennessee!!With a disability!!Margin of Error","Warren County, Tennessee!!Percent with a disability!!Estimate","Warren County, Tennessee!!Percent with a disability!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!With a disability!!Estimate","White County, Tennessee!!With a disability!!Margin of Error","White County, Tennessee!!Percent with a disability!!Estimate","White County, Tennessee!!Percent with a disability!!Margin of Error"
"        With a hearing difficulty","(X)","(X)","291,306","±4,299","4.2%","±0.1","(X)","(X)","956","±188","6.5%","±1.3","(X)","(X)","408","±120","5.4%","±1.6","(X)","(X)","4,246","±488","6.7%","±0.8","(X)","(X)","1,288","±267","6.2%","±1.3","(X)","(X)","1,531","±287","8.0%","±1.5","(X)","(X)","809","±207","6.8%","±1.7","(X)","(X)","1,408","±291","5.4%","±1.1","(X)","(X)","1,242","±266","5.4%","±1.2","(X)","(X)","452","±110","9.0%","±2.2","(X)","(X)","3,125","±419","3.8%","±0.5","(X)","(X)","838","±147","4.1%","±0.7","(X)","(X)","507","±124","8.0%","±1.9","(X)","(X)","1,670","±271","4.0%","±0.6","(X)","(X)","1,693","±303","6.1%","±1.1"
"            Population under 18 years","1,564,875","±545","8,579","±960","0.5%","±0.1","3,372","±110","11","±18","0.3%","±0.5","1,443","±42","0","±20","0.0%","±3.1","10,609","±45","0","±33","0.0%","±0.4","4,533","±63","23","±36","0.5%","±0.8","3,929","±29","130","±109","3.3%","±2.8","2,200","±68","14","±22","0.6%","±1.0","6,583","±64","32","±40","0.5%","±0.6","4,758","±29","29","±32","0.6%","±0.7","878","±39","0","±20","0.0%","±5.0","17,172","±35","45","±38","0.3%","±0.2","4,566","±44","7","±10","0.2%","±0.2","1,303","±31","0","±20","0.0%","±3.4","9,818","±46","96","±86","1.0%","±0.9","6,096","±40","2","±4","0.0%","±0.1"
"                Population under 5 years","410,887","±876","2,078","±474","0.5%","±0.1","857","±72","11","±18","1.3%","±2.0","323","±20","0","±20","0.0%","±13.0","2,710","±162","0","±33","0.0%","±1.6","1,534","±108","23","±36","1.5%","±2.3","1,031","±53","0","±22","0.0%","±4.3","548","±44","0","±22","0.0%","±7.9","1,658","±33","0","±26","0.0%","±2.7","1,150","±20","0","±26","0.0%","±3.8","206","±6","0","±20","0.0%","±19.5","4,526","±101","26","±31","0.6%","±0.7","1,114","±76","0","±26","0.0%","±4.0","345","±26","0","±20","0.0%","±12.2","2,483","±109","35","±41","1.4%","±1.6","1,536","±123","0","±26","0.0%","±2.9"
"                Population 5 to 17 years","1,153,988","±989","6,501","±906","0.6%","±0.1","2,515","±142","0","±22","0.0%","±1.8","1,120","±42","0","±20","0.0%","±3.9","7,899","±154","0","±33","0.0%","±0.6","2,999","±106","0","±26","0.0%","±1.5","2,898","±51","130","±109","4.5%","±3.8","1,652","±54","14","±22","0.8%","±1.3","4,925","±71","32","±40","0.6%","±0.8","3,608","±34","29","±32","0.8%","±0.9","672","±36","0","±20","0.0%","±6.5","12,646","±101","19","±25","0.2%","±0.2","3,452","±89","7","±10","0.2%","±0.3","958","±43","0","±20","0.0%","±4.6","7,335","±122","61","±72","0.8%","±1.0","4,560","±123","2","±4","0.0%","±0.1"
"            Population 18 to 64 years","4,226,101","±1,859","103,555","±3,027","2.5%","±0.1","8,759","±111","384","±131","4.4%","±1.5","4,248","±61","100","±59","2.4%","±1.4","32,117","±153","931","±229","2.9%","±0.7","12,411","±126","481","±222","3.9%","±1.8","10,777","±57","415","±185","3.9%","±1.7","6,929","±74","302","±156","4.4%","±2.2","15,431","±110","549","±212","3.6%","±1.4","13,443","±87","407","±144","3.0%","±1.1","2,757","±44","111","±58","4.0%","±2.1","51,277","±179","1,141","±326","2.2%","±0.6","12,318","±65","273","±85","2.2%","±0.7","3,548","±53","141","±80","4.0%","±2.3","24,565","±170","488","±186","2.0%","±0.8","15,880","±118","414","±123","2.6%","±0.8"
"                Population 18 to 34 years","1,574,502","±1,966","17,348","±1,091","1.1%","±0.1","2,958","±138","14","±17","0.5%","±0.6","1,022","±102","0","±20","0.0%","±4.3","9,673","±143","34","±30","0.4%","±0.3","4,242","±173","6","±14","0.1%","±0.3","3,402","±101","26","±50","0.8%","±1.5","2,184","±94","40","±40","1.8%","±1.8","5,374","±144","69","±83","1.3%","±1.5","4,568","±85","47","±43","1.0%","±0.9","705","±44","2","±3","0.3%","±0.5","23,049","±299","99","±76","0.4%","±0.3","4,084","±93","43","±41","1.1%","±1.0","1,103","±43","0","±20","0.0%","±4.0","8,606","±216","65","±65","0.8%","±0.8","5,298","±157","44","±48","0.8%","±0.9"
"                Population 35 to 64 years","2,651,599","±2,194","86,207","±2,823","3.3%","±0.1","5,801","±100","370","±137","6.4%","±2.4","3,226","±108","100","±59","3.1%","±1.8","22,444","±171","897","±220","4.0%","±1.0","8,169","±176","475","±221","5.8%","±2.7","7,375","±95","389","±188","5.3%","±2.5","4,745","±71","262","±149","5.5%","±3.1","10,057","±146","480","±199","4.8%","±2.0","8,875","±98","360","±138","4.1%","±1.6","2,052","±58","109","±58","5.3%","±2.8","28,228","±325","1,042","±315","3.7%","±1.1","8,234","±100","230","±73","2.8%","±0.9","2,445","±53","141","±80","5.8%","±3.3","15,959","±281","423","±172","2.7%","±1.1","10,582","±164","370","±114","3.5%","±1.1"
"            Population 65 years and over","1,179,679","±1,181","179,172","±2,844","15.2%","±0.2","2,561","±30","561","±121","21.9%","±4.7","1,903","±41","308","±103","16.2%","±5.4","20,351","±147","3,315","±364","16.3%","±1.8","3,837","±114","784","±152","20.4%","±4.0","4,449","±61","986","±173","22.2%","±3.9","2,744","±32","493","±132","18.0%","±4.8","3,978","±84","827","±248","20.8%","±6.2","4,665","±74","806","±207","17.3%","±4.4","1,384","±28","341","±91","24.6%","±6.5","13,304","±147","1,939","±305","14.6%","±2.3","3,338","±46","558","±118","16.7%","±3.5","1,503","±45","366","±99","24.4%","±6.4","7,338","±179","1,086","±185","14.8%","±2.5","5,866","±97","1,277","±275","21.8%","±4.7"
"                Population 65 to 74 years","721,012","±1,279","71,940","±1,841","10.0%","±0.3","1,566","±28","243","±100","15.5%","±6.4","1,094","±38","138","±64","12.6%","±5.9","11,918","±158","1,353","±221","11.4%","±1.9","2,409","±97","348","±126","14.4%","±5.1","2,699","±63","400","±140","14.8%","±5.2","1,742","±37","166","±84","9.5%","±4.9","2,443","±31","383","±173","15.7%","±7.1","2,884","±72","345","±111","12.0%","±3.9","794","±5","119","±56","15.0%","±7.1","8,117","±118","689","±200","8.5%","±2.4","2,081","±33","348","±106","16.7%","±5.0","907","±25","239","±82","26.4%","±9.1","4,450","±142","433","±126","9.7%","±2.8","3,614","±102","567","±193","15.7%","±5.3"
"                Population 75 years and over","458,667","±1,041","107,232","±1,997","23.4%","±0.4","995","±16","318","±84","32.0%","±8.5","809","±41","170","±79","21.0%","±9.7","8,433","±111","1,962","±277","23.3%","±3.2","1,428","±53","436","±95","30.5%","±7.0","1,750","±41","586","±148","33.5%","±8.5","1,002","±33","327","±84","32.6%","±8.3","1,535","±58","444","±167","28.9%","±10.8","1,781","±42","461","±154","25.9%","±8.6","590","±24","222","±71","37.6%","±11.8","5,187","±129","1,250","±237","24.1%","±4.5","1,257","±40","210","±75","16.7%","±6.0","596","±61","127","±47","21.3%","±7.5","2,888","±115","653","±187","22.6%","±6.5","2,252","±97","710","±198","31.5%","±8.9"
"        With a vision difficulty","(X)","(X)","210,550","±4,700","3.0%","±0.1","(X)","(X)","404","±133","2.7%","±0.9","(X)","(X)","407","±157","5.4%","±2.1","(X)","(X)","2,615","±409","4.1%","±0.6","(X)","(X)","1,098","±305","5.3%","±1.5","(X)","(X)","838","±302","4.4%","±1.6","(X)","(X)","701","±222","5.9%","±1.9","(X)","(X)","897","±261","3.5%","±1.0","(X)","(X)","1,038","±252","4.5%","±1.1","(X)","(X)","213","±84","4.2%","±1.7","(X)","(X)","1,839","±366","2.2%","±0.4","(X)","(X)","821","±194","4.1%","±1.0","(X)","(X)","428","±145","6.7%","±2.3","(X)","(X)","1,534","±365","3.7%","±0.9","(X)","(X)","1,161","±284","4.2%","±1.0"
"            Population under 18 years","1,564,875","±545","16,020","±1,259","1.0%","±0.1","3,372","±110","29","±27","0.9%","±0.8","1,443","±42","0","±20","0.0%","±3.1","10,609","±45","103","±67","1.0%","±0.6","4,533","±63","8","±8","0.2%","±0.2","3,929","±29","206","±133","5.2%","±3.4","2,200","±68","40","±49","1.8%","±2.2","6,583","±64","17","±30","0.3%","±0.5","4,758","±29","23","±19","0.5%","±0.4","878","±39","3","±6","0.3%","±0.7","17,172","±35","30","±34","0.2%","±0.2","4,566","±44","84","±69","1.8%","±1.5","1,303","±31","56","±57","4.3%","±4.4","9,818","±46","98","±89","1.0%","±0.9","6,096","±40","41","±52","0.7%","±0.8"
"                Population under 5 years","410,887","±876","2,047","±490","0.5%","±0.1","857","±72","0","±22","0.0%","±5.1","323","±20","0","±20","0.0%","±13.0","2,710","±162","0","±33","0.0%","±1.6","1,534","±108","6","±7","0.4%","±0.5","1,031","±53","0","±22","0.0%","±4.3","548","±44","23","±37","4.2%","±6.8","1,658","±33","0","±26","0.0%","±2.7","1,150","±20","0","±26","0.0%","±3.8","206","±6","0","±20","0.0%","±19.5","4,526","±101","0","±33","0.0%","±1.0","1,114","±76","0","±26","0.0%","±4.0","345","±26","0","±20","0.0%","±12.2","2,483","±109","8","±14","0.3%","±0.6","1,536","±123","0","±26","0.0%","±2.9"
"                Population 5 to 17 years","1,153,988","±989","13,973","±1,170","1.2%","±0.1","2,515","±142","29","±27","1.2%","±1.1","1,120","±42","0","±20","0.0%","±3.9","7,899","±154","103","±67","1.3%","±0.8","2,999","±106","2","±6","0.1%","±0.2","2,898","±51","206","±133","7.1%","±4.6","1,652","±54","17","±26","1.0%","±1.6","4,925","±71","17","±30","0.3%","±0.6","3,608","±34","23","±19","0.6%","±0.5","672","±36","3","±6","0.4%","±0.9","12,646","±101","30","±34","0.2%","±0.3","3,452","±89","84","±69","2.4%","±2.0","958","±43","56","±57","5.8%","±6.0","7,335","±122","90","±88","1.2%","±1.2","4,560","±123","41","±52","0.9%","±1.1"
"            Population 18 to 64 years","4,226,101","±1,859","111,764","±3,407","2.6%","±0.1","8,759","±111","193","±100","2.2%","±1.1","4,248","±61","231","±119","5.4%","±2.8","32,117","±153","1,336","±328","4.2%","±1.0","12,411","±126","844","±275","6.8%","±2.2","10,777","±57","376","±198","3.5%","±1.8","6,929","±74","435","±192","6.3%","±2.8","15,431","±110","545","±210","3.5%","±1.4","13,443","±87","497","±182","3.7%","±1.4","2,757","±44","126","±71","4.6%","±2.6","51,277","±179","1,066","±305","2.1%","±0.6","12,318","±65","468","±139","3.8%","±1.1","3,548","±53","193","±97","5.4%","±2.7","24,565","±170","767","±238","3.1%","±1.0","15,880","±118","741","±255","4.7%","±1.6"
"                Population 18 to 34 years","1,574,502","±1,966","26,748","±1,836","1.7%","±0.1","2,958","±138","79","±65","2.7%","±2.2","1,022","±102","42","±42","4.1%","±4.1","9,673","±143","350","±203","3.6%","±2.1","4,242","±173","144","±123","3.4%","±2.9","3,402","±101","56","±54","1.6%","±1.6","2,184","±94","60","±63","2.7%","±2.8","5,374","±144","203","±141","3.8%","±2.6","4,568","±85","22","±28","0.5%","±0.6","705","±44","0","±20","0.0%","±6.2","23,049","±299","244","±124","1.1%","±0.5","4,084","±93","163","±91","4.0%","±2.2","1,103","±43","11","±15","1.0%","±1.4","8,606","±216","213","±133","2.5%","±1.6","5,298","±157","125","±87","2.4%","±1.6"
"                Population 35 to 64 years","2,651,599","±2,194","85,016","±2,856","3.2%","±0.1","5,801","±100","114","±78","2.0%","±1.3","3,226","±108","189","±98","5.9%","±3.0","22,444","±171","986","±281","4.4%","±1.3","8,169","±176","700","±245","8.6%","±3.0","7,375","±95","320","±188","4.3%","±2.5","4,745","±71","375","±189","7.9%","±4.0","10,057","±146","342","±173","3.4%","±1.7","8,875","±98","475","±182","5.4%","±2.1","2,052","±58","126","±71","6.1%","±3.4","28,228","±325","822","±274","2.9%","±1.0","8,234","±100","305","±98","3.7%","±1.2","2,445","±53","182","±98","7.4%","±4.0","15,959","±281","554","±170","3.5%","±1.1","10,582","±164","616","±232","5.8%","±2.2"
"            Population 65 years and over","1,179,679","±1,181","82,766","±2,540","7.0%","±0.2","2,561","±30","182","±70","7.1%","±2.7","1,903","±41","176","±92","9.2%","±4.9","20,351","±147","1,176","±251","5.8%","±1.2","3,837","±114","246","±93","6.4%","±2.4","4,449","±61","256","±110","5.8%","±2.5","2,744","±32","226","±102","8.2%","±3.7","3,978","±84","335","±143","8.4%","±3.6","4,665","±74","518","±156","11.1%","±3.4","1,384","±28","84","±43","6.1%","±3.1","13,304","±147","743","±216","5.6%","±1.6","3,338","±46","269","±99","8.1%","±3.0","1,503","±45","179","±85","11.9%","±5.7","7,338","±179","669","±180","9.1%","±2.4","5,866","±97","379","±152","6.5%","±2.6"
"                Population 65 to 74 years","721,012","±1,279","37,253","±1,857","5.2%","±0.3","1,566","±28","103","±60","6.6%","±3.9","1,094","±38","97","±58","8.9%","±5.4","11,918","±158","594","±207","5.0%","±1.7","2,409","±97","104","±58","4.3%","±2.4","2,699","±63","122","±72","4.5%","±2.7","1,742","±37","113","±75","6.5%","±4.3","2,443","±31","109","±70","4.5%","±2.9","2,884","±72","291","±104","10.1%","±3.7","794","±5","30","±24","3.8%","±3.0","8,117","±118","401","±182","4.9%","±2.2","2,081","±33","188","±86","9.0%","±4.1","907","±25","120","±81","13.2%","±8.9","4,450","±142","285","±129","6.4%","±2.9","3,614","±102","104","±60","2.9%","±1.6"
"                Population 75 years and over","458,667","±1,041","45,513","±1,662","9.9%","±0.4","995","±16","79","±41","7.9%","±4.1","809","±41","79","±61","9.8%","±7.5","8,433","±111","582","±145","6.9%","±1.7","1,428","±53","142","±75","9.9%","±5.2","1,750","±41","134","±78","7.7%","±4.4","1,002","±33","113","±77","11.3%","±7.8","1,535","±58","226","±127","14.7%","±8.3","1,781","±42","227","±114","12.7%","±6.4","590","±24","54","±36","9.2%","±6.1","5,187","±129","342","±130","6.6%","±2.5","1,257","±40","81","±50","6.4%","±3.9","596","±61","59","±35","9.9%","±5.7","2,888","±115","384","±113","13.3%","±3.8","2,252","±97","275","±124","12.2%","±5.6"
"        With a cognitive difficulty","(X)","(X)","406,533","±6,306","6.2%","±0.1","(X)","(X)","1,134","±289","8.2%","±2.1","(X)","(X)","779","±203","10.7%","±2.8","(X)","(X)","4,509","±650","7.5%","±1.1","(X)","(X)","1,452","±287","7.5%","±1.5","(X)","(X)","1,542","±304","8.5%","±1.7","(X)","(X)","1,030","±197","9.1%","±1.7","(X)","(X)","1,528","±318","6.3%","±1.3","(X)","(X)","1,459","±317","6.7%","±1.5","(X)","(X)","658","±189","13.7%","±3.9","(X)","(X)","4,265","±670","5.5%","±0.9","(X)","(X)","1,108","±252","5.8%","±1.3","(X)","(X)","270","±97","4.5%","±1.6","(X)","(X)","3,393","±464","8.6%","±1.2","(X)","(X)","1,452","±295","5.5%","±1.1"
"            Population under 18 years","1,153,988","±989","59,623","±2,310","5.2%","±0.2","2,515","±142","78","±61","3.1%","±2.5","1,120","±42","61","±58","5.4%","±5.0","7,899","±154","479","±158","6.1%","±2.0","2,999","±106","95","±68","3.2%","±2.3","2,898","±51","214","±109","7.4%","±3.7","1,652","±54","109","±67","6.6%","±4.0","4,925","±71","182","±81","3.7%","±1.7","3,608","±34","333","±158","9.2%","±4.4","672","±36","176","±87","26.2%","±13.2","12,646","±101","569","±201","4.5%","±1.6","3,452","±89","159","±86","4.6%","±2.5","958","±43","21","±30","2.2%","±3.2","7,335","±122","315","±174","4.3%","±2.4","4,560","±123","108","±73","2.4%","±1.6"
"            Population 18 to 64 years","4,226,101","±1,859","243,024","±4,774","5.8%","±0.1","8,759","±111","804","±274","9.2%","±3.1","4,248","±61","417","±140","9.8%","±3.3","32,117","±153","2,400","±474","7.5%","±1.5","12,411","±126","733","±188","5.9%","±1.5","10,777","±57","856","±212","7.9%","±2.0","6,929","±74","650","±171","9.4%","±2.4","15,431","±110","912","±253","5.9%","±1.6","13,443","±87","748","±185","5.6%","±1.4","2,757","±44","347","±122","12.6%","±4.5","51,277","±179","2,680","±486","5.2%","±0.9","12,318","±65","705","±212","5.7%","±1.7","3,548","±53","199","±90","5.6%","±2.5","24,565","±170","2,434","±394","9.9%","±1.6","15,880","±118","897","±216","5.6%","±1.4"
"                Population 18 to 34 years","1,574,502","±1,966","86,781","±3,138","5.5%","±0.2","2,958","±138","255","±107","8.6%","±3.6","1,022","±102","62","±59","6.1%","±5.7","9,673","±143","658","±248","6.8%","±2.6","4,242","±173","162","±93","3.8%","±2.1","3,402","±101","304","±110","8.9%","±3.3","2,184","±94","97","±72","4.4%","±3.3","5,374","±144","198","±125","3.7%","±2.3","4,568","±85","229","±94","5.0%","±2.1","705","±44","69","±75","9.8%","±10.8","23,049","±299","1,281","±351","5.6%","±1.5","4,084","±93","176","±89","4.3%","±2.2","1,103","±43","42","±34","3.8%","±3.1","8,606","±216","739","±201","8.6%","±2.3","5,298","±157","315","±118","5.9%","±2.2"
"                Population 35 to 64 years","2,651,599","±2,194","156,243","±3,340","5.9%","±0.1","5,801","±100","549","±218","9.5%","±3.8","3,226","±108","355","±146","11.0%","±4.5","22,444","±171","1,742","±414","7.8%","±1.8","8,169","±176","571","±174","7.0%","±2.1","7,375","±95","552","±172","7.5%","±2.4","4,745","±71","553","±163","11.7%","±3.4","10,057","±146","714","±223","7.1%","±2.2","8,875","±98","519","±139","5.8%","±1.6","2,052","±58","278","±97","13.5%","±4.8","28,228","±325","1,399","±310","5.0%","±1.1","8,234","±100","529","±184","6.4%","±2.2","2,445","±53","157","±85","6.4%","±3.4","15,959","±281","1,695","±323","10.6%","±2.0","10,582","±164","582","±194","5.5%","±1.8"
"            Population 65 years and over","1,179,679","±1,181","103,886","±2,625","8.8%","±0.2","2,561","±30","252","±87","9.8%","±3.4","1,903","±41","301","±107","15.8%","±5.7","20,351","±147","1,630","±458","8.0%","±2.2","3,837","±114","624","±176","16.3%","±4.6","4,449","±61","472","±145","10.6%","±3.2","2,744","±32","271","±104","9.9%","±3.8","3,978","±84","434","±201","10.9%","±5.1","4,665","±74","378","±133","8.1%","±2.8","1,384","±28","135","±63","9.8%","±4.6","13,304","±147","1,016","±216","7.6%","±1.6","3,338","±46","244","±91","7.3%","±2.7","1,503","±45","50","±28","3.3%","±1.9","7,338","±179","644","±183","8.8%","±2.4","5,866","±97","447","±171","7.6%","±2.9"
"                Population 65 to 74 years","721,012","±1,279","42,497","±1,738","5.9%","±0.2","1,566","±28","131","±74","8.4%","±4.7","1,094","±38","126","±60","11.5%","±5.5","11,918","±158","561","±236","4.7%","±2.0","2,409","±97","232","±119","9.6%","±5.0","2,699","±63","144","±65","5.3%","±2.4","1,742","±37","153","±90","8.8%","±5.2","2,443","±31","214","±134","8.8%","±5.5","2,884","±72","251","±109","8.7%","±3.8","794","±5","52","±34","6.5%","±4.3","8,117","±118","471","±155","5.8%","±1.9","2,081","±33","125","±69","6.0%","±3.3","907","±25","23","±20","2.5%","±2.1","4,450","±142","384","±154","8.6%","±3.4","3,614","±102","197","±113","5.5%","±3.1"
"                Population 75 years and over","458,667","±1,041","61,389","±1,716","13.4%","±0.4","995","±16","121","±60","12.2%","±6.0","809","±41","175","±91","21.6%","±11.3","8,433","±111","1,069","±413","12.7%","±4.9","1,428","±53","392","±137","27.5%","±9.6","1,750","±41","328","±132","18.7%","±7.5","1,002","±33","118","±60","11.8%","±6.1","1,535","±58","220","±139","14.3%","±9.1","1,781","±42","127","±78","7.1%","±4.4","590","±24","83","±48","14.1%","±8.2","5,187","±129","545","±137","10.5%","±2.7","1,257","±40","119","±64","9.5%","±5.0","596","±61","27","±22","4.5%","±3.5","2,888","±115","260","±88","9.0%","±2.9","2,252","±97","250","±127","11.1%","±5.7"
"        With an ambulatory difficulty","(X)","(X)","513,747","±5,380","7.8%","±0.1","(X)","(X)","1,072","±207","7.7%","±1.5","(X)","(X)","1,084","±248","14.9%","±3.4","(X)","(X)","5,806","±619","9.6%","±1.0","(X)","(X)","2,046","±285","10.6%","±1.5","(X)","(X)","2,082","±329","11.5%","±1.8","(X)","(X)","1,623","±288","14.3%","±2.5","(X)","(X)","2,051","±313","8.4%","±1.3","(X)","(X)","2,436","±448","11.2%","±2.1","(X)","(X)","768","±167","16.0%","±3.5","(X)","(X)","5,398","±498","7.0%","±0.6","(X)","(X)","1,596","±240","8.4%","±1.3","(X)","(X)","489","±114","8.1%","±1.9","(X)","(X)","3,303","±370","8.4%","±0.9","(X)","(X)","2,765","±371","10.5%","±1.4"
"            Population under 18 years","1,153,988","±989","7,786","±889","0.7%","±0.1","2,515","±142","0","±22","0.0%","±1.8","1,120","±42","47","±53","4.2%","±4.6","7,899","±154","62","±61","0.8%","±0.8","2,999","±106","11","±14","0.4%","±0.5","2,898","±51","44","±47","1.5%","±1.6","1,652","±54","0","±22","0.0%","±2.7","4,925","±71","20","±31","0.4%","±0.6","3,608","±34","68","±58","1.9%","±1.6","672","±36","26","±48","3.9%","±7.3","12,646","±101","47","±49","0.4%","±0.4","3,452","±89","0","±26","0.0%","±1.3","958","±43","0","±20","0.0%","±4.6","7,335","±122","0","±30","0.0%","±0.6","4,560","±123","0","±26","0.0%","±1.0"
"            Population 18 to 64 years","4,226,101","±1,859","234,264","±3,658","5.5%","±0.1","8,759","±111","533","±185","6.1%","±2.1","4,248","±61","538","±182","12.7%","±4.3","32,117","±153","2,102","±343","6.5%","±1.1","12,411","±126","1,121","±213","9.0%","±1.7","10,777","±57","820","±222","7.6%","±2.1","6,929","±74","924","±232","13.3%","±3.3","15,431","±110","1,165","±237","7.5%","±1.5","13,443","±87","1,063","±299","7.9%","±2.2","2,757","±44","316","±107","11.5%","±3.9","51,277","±179","2,199","±427","4.3%","±0.8","12,318","±65","836","±216","6.8%","±1.8","3,548","±53","257","±91","7.2%","±2.5","24,565","±170","1,658","±278","6.7%","±1.1","15,880","±118","1,071","±234","6.7%","±1.5"
"                Population 18 to 34 years","1,574,502","±1,966","21,913","±1,485","1.4%","±0.1","2,958","±138","85","±61","2.9%","±2.1","1,022","±102","40","±54","3.9%","±5.2","9,673","±143","162","±79","1.7%","±0.8","4,242","±173","35","±46","0.8%","±1.1","3,402","±101","21","±27","0.6%","±0.8","2,184","±94","98","±74","4.5%","±3.4","5,374","±144","150","±97","2.8%","±1.8","4,568","±85","107","±113","2.3%","±2.5","705","±44","8","±11","1.1%","±1.6","23,049","±299","349","±228","1.5%","±1.0","4,084","±93","152","±109","3.7%","±2.7","1,103","±43","10","±14","0.9%","±1.3","8,606","±216","121","±79","1.4%","±0.9","5,298","±157","98","±61","1.8%","±1.1"
"                Population 35 to 64 years","2,651,599","±2,194","212,351","±3,383","8.0%","±0.1","5,801","±100","448","±162","7.7%","±2.8","3,226","±108","498","±166","15.4%","±5.1","22,444","±171","1,940","±326","8.6%","±1.5","8,169","±176","1,086","±219","13.3%","±2.7","7,375","±95","799","±224","10.8%","±3.0","4,745","±71","826","±225","17.4%","±4.7","10,057","±146","1,015","±224","10.1%","±2.2","8,875","±98","956","±270","10.8%","±3.1","2,052","±58","308","±105","15.0%","±5.1","28,228","±325","1,850","±336","6.6%","±1.2","8,234","±100","684","±191","8.3%","±2.3","2,445","±53","247","±87","10.1%","±3.5","15,959","±281","1,537","±281","9.6%","±1.8","10,582","±164","973","±222","9.2%","±2.1"
