"Label (Grouping)","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!With a disability!!Estimate","Tennessee!!With a disability!!Margin of Error","Tennessee!!Percent with a disability!!Estimate","Tennessee!!Percent with a disability!!Margin of Error","Cannon County, Tennessee!!Total!!Estimate","Cannon County, Tennessee!!Total!!Margin of Error","Cannon County, Tennessee!!With a disability!!Estimate","Cannon County, Tennessee!!With a disability!!Margin of Error","Cannon County, Tennessee!!Percent with a disability!!Estimate","Cannon County, Tennessee!!Percent with a disability!!Margin of Error","Clay County, Tennessee!!Total!!Estimate","Clay County, Tennessee!!Total!!Margin of Error","Clay County, Tennessee!!With a disability!!Estimate","Clay County, Tennessee!!With a disability!!Margin of Error","Clay County, Tennessee!!Percent with a disability!!Estimate","Clay County, Tennessee!!Percent with a disability!!Margin of Error","Cumberland County, Tennessee!!Total!!Estimate","Cumberland County, Tennessee!!Total!!Margin of Error","Cumberland County, Tennessee!!With a disability!!Estimate","Cumberland County, Tennessee!!With a disability!!Margin of Error","Cumberland County, Tennessee!!Percent with a disability!!Estimate","Cumberland County, Tennessee!!Percent with a disability!!Margin of Error","DeKalb County, Tennessee!!Total!!Estimate","DeKalb County, Tennessee!!Total!!Margin of Error","DeKalb County, Tennessee!!With a disability!!Estimate","DeKalb County, Tennessee!!With a disability!!Margin of Error","DeKalb County, Tennessee!!Percent with a disability!!Estimate","DeKalb County, Tennessee!!Percent with a disability!!Margin of Error","Fentress County, Tennessee!!Total!!Estimate","Fentress County, Tennessee!!Total!!Margin of Error","Fentress County, Tennessee!!With a disability!!Estimate","Fentress County, Tennessee!!With a disability!!Margin of Error","Fentress County, Tennessee!!Percent with a disability!!Estimate","Fentress County, Tennessee!!Percent with a disability!!Margin of Error","Jackson County, Tennessee!!Total!!Estimate","Jackson County, Tennessee!!Total!!Margin of Error","Jackson County, Tennessee!!With a disability!!Estimate","Jackson County, Tennessee!!With a disability!!Margin of Error","Jackson County, Tennessee!!Percent with a disability!!Estimate","Jackson County, Tennessee!!Percent with a disability!!Margin of Error","Macon County, Tennessee!!Total!!Estimate","Macon County, Tennessee!!Total!!Margin of Error","Macon County, Tennessee!!With a disability!!Estimate","Macon County, Tennessee!!With a disability!!Margin of Error","Macon County, Tennessee!!Percent with a disability!!Estimate","Macon County, Tennessee!!Percent with a disability!!Margin of Error","Overton County, Tennessee!!Total!!Estimate","Overton County, Tennessee!!Total!!Margin of Error","Overton County, Tennessee!!With a disability!!Estimate","Overton County, Tennessee!!With a disability!!Margin of Error","Overton County, Tennessee!!Percent with a disability!!Estimate","Overton County, Tennessee!!Percent with a disability!!Margin of Error","Pickett County, Tennessee!!Total!!Estimate","Pickett County, Tennessee!!Total!!Margin of Error","Pickett County, Tennessee!!With a disability!!Estimate","Pickett County, Tennessee!!With a disability!!Margin of Error","Pickett County, Tennessee!!Percent with a disability!!Estimate","Pickett County, Tennessee!!Percent with a disability!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!With a disability!!Estimate","Putnam County, Tennessee!!With a disability!!Margin of Error","Putnam County, Tennessee!!Percent with a disability!!Estimate","Putnam County, Tennessee!!Percent with a disability!!Margin of Error","Smith County, Tennessee!!Total!!Estimate","Smith County, Tennessee!!Total!!Margin of Error","Smith County, Tennessee!!With a disability!!Estimate","Smith County, Tennessee!!With a disability!!Margin of Error","Smith County, Tennessee!!Percent with a disability!!Estimate","Smith County, Tennessee!!Percent with a disability!!Margin of Error","Van Buren County, Tennessee!!Total!!Estimate","Van Buren County, Tennessee!!Total!!Margin of Error","Van Buren County, Tennessee!!With a disability!!Estimate","Van Buren County, Tennessee!!With a disability!!Margin of Error","Van Buren County, Tennessee!!Percent with a disability!!Estimate","Van Buren County, Tennessee!!Percent with a disability!!Margin of Error","Warren County, Tennessee!!Total!!Estimate","Warren County, Tennessee!!Total!!Margin of Error","Warren County, Tennessee!!With a disability!!Estimate","Warren County, Tennessee!!With a disability!!Margin of Error","Warren County, Tennessee!!Percent with a disability!!Estimate","Warren County, Tennessee!!Percent with a disability!!Margin of Error","White County, Tennessee!!Total!!Estimate","White County, Tennessee!!Total!!Margin of Error","White County, Tennessee!!With a disability!!Estimate","White County, Tennessee!!With a disability!!Margin of Error","White County, Tennessee!!Percent with a disability!!Estimate","White County, Tennessee!!Percent with a disability!!Margin of Error"
"        Some other race alone","192,737","±5,124","14,153","±1,083","7.3%","±0.5","135","±87","19","±27","14.1%","±21.9","0","±20","0","±20","-","**","459","±279","64","±66","13.9%","±13.9","920","±333","79","±70","8.6%","±7.6","38","±62","4","±9","10.5%","±28.8","63","±82","0","±22","0.0%","±44.0","426","±221","18","±32","4.2%","±7.4","181","±150","14","±16","7.7%","±3.7","55","±24","0","±20","0.0%","±47.1","2,817","±690","193","±124","6.9%","±4.4","267","±157","0","±26","0.0%","±15.5","110","±34","12","±22","10.9%","±21.5","1,144","±526","52","±59","4.5%","±5.5","202","±124","0","±26","0.0%","±19.8"
"        Two or more races","490,205","±7,752","57,566","±2,347","11.7%","±0.5","474","±192","46","±39","9.7%","±7.1","126","±90","89","±74","70.6%","±24.3","2,467","±399","333","±90","13.5%","±4.3","954","±311","111","±46","11.6%","±5.0","843","±235","332","±205","39.4%","±15.6","718","±180","178","±97","24.8%","±11.5","2,285","±285","136","±90","6.0%","±3.9","608","±160","120","±43","19.7%","±7.4","170","±72","21","±11","12.4%","±9.3","4,920","±804","631","±218","12.8%","±4.1","1,143","±238","105","±64","9.2%","±5.8","201","±48","42","±38","20.9%","±18.2","3,169","±704","272","±126","8.6%","±4.1","1,295","±253","162","±86","12.5%","±6.7"
"        White alone, not Hispanic or Latino","4,959,086","±3,764","794,084","±7,490","16.0%","±0.2","13,512","±65","2,684","±300","19.9%","±2.2","7,141","±29","1,534","±263","21.5%","±3.7","58,601","±178","11,653","±912","19.9%","±1.6","18,124","±94","3,733","±416","20.6%","±2.3","18,050","±204","4,148","±544","23.0%","±3.0","10,970","±140","2,645","±335","24.1%","±3.1","23,063","±119","3,629","±433","15.7%","±1.9","21,573","±111","4,082","±617","18.9%","±2.8","4,770","±70","1,468","±208","30.8%","±4.3","69,507","±305","9,682","±722","13.9%","±1.0","18,230","±201","2,974","±330","16.3%","±1.8","6,015","±12","1,259","±209","20.9%","±3.5","34,773","±112","6,470","±504","18.6%","±1.4","25,561","±157","4,658","±500","18.2%","±2.0"
"        Hispanic or Latino (of any race)","518,759","±509","41,008","±1,754","7.9%","±0.3","446","±20","15","±36","3.4%","±8.1","18","±34","7","±13","38.9%","±26.5","2,250","±3","224","±95","10.0%","±4.2","1,620","±7","105","±78","6.5%","±4.8","408","±11","18","±31","4.4%","±7.6","342","±22","64","±66","18.7%","±19.3","1,833","±9","29","±46","1.6%","±2.5","503","±23","16","±15","3.2%","±3.1","105","±6","0","±20","0.0%","±33.3","6,905","±19","642","±300","9.3%","±4.3","629","±20","41","±36","6.5%","±5.7","144","±20","12","±22","8.3%","±15.0","4,199","±2","372","±145","8.9%","±3.5","909","±4","80","±96","8.8%","±10.6"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","410,887","±876","3,348","±607","0.8%","±0.1","857","±72","11","±18","1.3%","±2.0","323","±20","0","±20","0.0%","±13.0","2,710","±162","0","±33","0.0%","±1.6","1,534","±108","29","±37","1.9%","±2.4","1,031","±53","0","±22","0.0%","±4.3","548","±44","23","±37","4.2%","±6.8","1,658","±33","0","±26","0.0%","±2.7","1,150","±20","0","±26","0.0%","±3.8","206","±6","0","±20","0.0%","±19.5","4,526","±101","26","±31","0.6%","±0.7","1,114","±76","0","±26","0.0%","±4.0","345","±26","0","±20","0.0%","±12.2","2,483","±109","43","±42","1.7%","±1.7","1,536","±123","0","±26","0.0%","±2.9"
"        5 to 17 years","1,153,988","±989","76,910","±2,643","6.7%","±0.2","2,515","±142","107","±61","4.3%","±2.5","1,120","±42","64","±58","5.7%","±5.1","7,899","±154","511","±160","6.5%","±2.0","2,999","±106","108","±73","3.6%","±2.4","2,898","±51","484","±232","16.7%","±8.0","1,652","±54","140","±76","8.5%","±4.6","4,925","±71","210","±85","4.3%","±1.7","3,608","±34","393","±175","10.9%","±4.8","672","±36","179","±87","26.6%","±13.2","12,646","±101","612","±203","4.8%","±1.6","3,452","±89","236","±122","6.8%","±3.6","958","±43","77","±52","8.0%","±5.4","7,335","±122","428","±191","5.8%","±2.6","4,560","±123","117","±75","2.6%","±1.6"
"        18 to 34 years","1,574,502","±1,966","133,857","±3,754","8.5%","±0.2","2,958","±138","355","±117","12.0%","±3.9","1,022","±102","114","±80","11.2%","±7.8","9,673","±143","987","±260","10.2%","±2.7","4,242","±173","331","±150","7.8%","±3.5","3,402","±101","503","±169","14.8%","±4.9","2,184","±94","306","±114","14.0%","±5.1","5,374","±144","443","±184","8.2%","±3.4","4,568","±85","388","±139","8.5%","±3.1","705","±44","77","±77","10.9%","±11.2","23,049","±299","1,934","±434","8.4%","±1.8","4,084","±93","434","±146","10.6%","±3.6","1,103","±43","57","±36","5.2%","±3.3","8,606","±216","1,026","±234","11.9%","±2.8","5,298","±157","446","±166","8.4%","±3.1"
"        35 to 64 years","2,651,599","±2,194","399,987","±4,950","15.1%","±0.2","5,801","±100","1,224","±245","21.1%","±4.3","3,226","±108","699","±210","21.7%","±6.4","22,444","±171","4,123","±524","18.4%","±2.4","8,169","±176","1,954","±357","23.9%","±4.4","7,375","±95","1,644","±358","22.3%","±4.8","4,745","±71","1,370","±247","28.9%","±5.2","10,057","±146","1,750","±325","17.4%","±3.3","8,875","±98","1,542","±307","17.4%","±3.5","2,052","±58","584","±118","28.5%","±5.7","28,228","±325","3,919","±511","13.9%","±1.8","8,234","±100","1,255","±195","15.2%","±2.4","2,445","±53","580","±170","23.7%","±6.9","15,959","±281","3,184","±370","20.0%","±2.3","10,582","±164","1,853","±282","17.5%","±2.7"
"        65 to 74 years","721,012","±1,279","199,795","±3,384","27.7%","±0.5","1,566","±28","447","±134","28.5%","±8.6","1,094","±38","355","±110","32.4%","±10.4","11,918","±158","3,122","±354","26.2%","±3.0","2,409","±97","752","±160","31.2%","±6.6","2,699","±63","910","±195","33.7%","±7.4","1,742","±37","511","±164","29.3%","±9.4","2,443","±31","736","±195","30.1%","±8.0","2,884","±72","1,113","±199","38.6%","±6.8","794","±5","318","±93","40.1%","±11.7","8,117","±118","2,045","±285","25.2%","±3.5","2,081","±33","647","±110","31.1%","±5.1","907","±25","377","±82","41.6%","±9.2","4,450","±142","1,340","±226","30.1%","±4.7","3,614","±102","1,323","±290","36.6%","±7.7"
"        75 years and over","458,667","±1,041","227,352","±2,714","49.6%","±0.6","995","±16","607","±94","61.0%","±9.4","809","±41","511","±109","63.2%","±12.7","8,433","±111","3,516","±451","41.7%","±5.2","1,428","±53","872","±123","61.1%","±8.5","1,750","±41","957","±171","54.7%","±9.9","1,002","±33","493","±98","49.2%","±9.9","1,535","±58","693","±157","45.1%","±10.0","1,781","±42","913","±203","51.3%","±11.2","590","±24","331","±59","56.1%","±10.0","5,187","±129","2,535","±250","48.9%","±4.8","1,257","±40","606","±101","48.2%","±8.0","596","±61","222","±59","37.2%","±9.2","2,888","±115","1,503","±214","52.0%","±6.8","2,252","±97","1,327","±173","58.9%","±7.8"
"    DISABILITY TYPE BY DETAILED AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
